ptf, etaf, rapidity
-1.316000, 3.076000, -1.315110
-1.316000, 3.114500, -1.315132
-1.316000, 3.153000, -1.315153
-1.316000, 3.191500, -1.315173
-1.316000, 3.230000, -1.315193
-1.316000, 3.268500, -1.315211
-1.316000, 3.307000, -1.315230
-1.316000, 3.345500, -1.315247
-1.316000, 3.384000, -1.315264
-1.316000, 3.422500, -1.315281
-1.316000, 3.461000, -1.315297
-1.316000, 3.499500, -1.315312
-1.316000, 3.538000, -1.315327
-1.316000, 3.576500, -1.315341
-1.316000, 3.615000, -1.315355
-1.316000, 3.653500, -1.315369
-1.316000, 3.692000, -1.315382
-1.316000, 3.730500, -1.315395
-1.316000, 3.769000, -1.315407
-1.316000, 3.807500, -1.315419
-1.316000, 3.846000, -1.315430
-1.316000, 3.884500, -1.315442
-1.316000, 3.923000, -1.315452
-1.316000, 3.961500, -1.315463
-1.288000, 0.150000, -1.032614
-1.288000, 0.188500, -1.106215
-1.288000, 0.227000, -1.153430
-1.288000, 0.265500, -1.185012
-1.288000, 0.304000, -1.206960
-1.288000, 0.342500, -1.222733
-1.288000, 0.381000, -1.234400
-1.288000, 0.419500, -1.243248
-1.288000, 0.458000, -1.250103
-1.288000, 0.496500, -1.255515
-1.288000, 0.535000, -1.259858
-1.288000, 0.573500, -1.263393
-1.288000, 0.612000, -1.266307
-1.288000, 0.650500, -1.268736
-1.288000, 0.689000, -1.270782
-1.288000, 0.727500, -1.272520
-1.288000, 0.766000, -1.274009
-1.288000, 0.804500, -1.275295
-1.288000, 0.843000, -1.276411
-1.288000, 0.881500, -1.277388
-1.288000, 0.920000, -1.278246
-1.288000, 0.958500, -1.279005
-1.288000, 0.997000, -1.279679
-1.288000, 1.035500, -1.280280
-1.288000, 1.074000, -1.280818
-1.288000, 1.112500, -1.281303
-1.288000, 1.151000, -1.281740
-1.288000, 1.189500, -1.282135
-1.288000, 1.228000, -1.282495
-1.288000, 1.266500, -1.282822
-1.288000, 1.305000, -1.283121
-1.288000, 1.343500, -1.283395
-1.288000, 1.382000, -1.283647
-1.288000, 1.420500, -1.283878
-1.288000, 1.459000, -1.284092
-1.288000, 1.497500, -1.284289
-1.288000, 1.536000, -1.284472
-1.288000, 1.574500, -1.284642
-1.288000, 1.613000, -1.284799
-1.288000, 1.651500, -1.284946
-1.288000, 1.690000, -1.285083
-1.288000, 1.728500, -1.285211
-1.288000, 1.767000, -1.285331
-1.288000, 1.805500, -1.285443
-1.288000, 1.844000, -1.285549
-1.288000, 1.882500, -1.285648
-1.288000, 1.921000, -1.285741
-1.288000, 1.959500, -1.285828
-1.288000, 1.998000, -1.285911
-1.288000, 2.036500, -1.285989
-1.288000, 2.075000, -1.286063
-1.288000, 2.113500, -1.286132
-1.288000, 2.152000, -1.286199
-1.288000, 2.190500, -1.286261
-1.288000, 2.229000, -1.286321
-1.288000, 2.267500, -1.286377
-1.288000, 2.306000, -1.286431
-1.288000, 2.344500, -1.286482
-1.288000, 2.383000, -1.286530
