pt, Ei, Ef, Ei/Ef, Ef/Ei
1.990000, 50.753122, 47.690940, 1.064209, 0.939665
2.000000, 50.976198, 47.929924, 1.063557, 0.940241
2.010000, 51.199445, 48.168911, 1.062915, 0.940809
2.020000, 51.422860, 48.407901, 1.062282, 0.941369
2.030000, 51.646442, 48.646894, 1.061660, 0.941922
2.040000, 51.870187, 48.885891, 1.061046, 0.942466
2.050000, 52.094093, 49.124891, 1.060442, 0.943003
2.060000, 52.318157, 49.363894, 1.059847, 0.943533
2.070000, 52.542376, 49.602900, 1.059260, 0.944055
2.080000, 52.766749, 49.841908, 1.058682, 0.944570
2.090000, 52.991273, 50.080920, 1.058113, 0.945079
2.100000, 53.215945, 50.319935, 1.057552, 0.945580
2.110000, 53.440764, 50.558952, 1.056999, 0.946075
2.120000, 53.665727, 50.797973, 1.056454, 0.946563
2.130000, 53.890831, 51.036996, 1.055917, 0.947044
2.140000, 54.116076, 51.276022, 1.055388, 0.947519
2.150000, 54.341458, 51.515051, 1.054866, 0.947988
2.160000, 54.566976, 51.754082, 1.054351, 0.948451
2.170000, 54.792627, 51.993116, 1.053844, 0.948907
2.180000, 55.018410, 52.232152, 1.053344, 0.949358
2.190000, 55.244323, 52.471191, 1.052851, 0.949802
2.200000, 55.470363, 52.710233, 1.052364, 0.950241
2.210000, 55.696530, 52.949277, 1.051885, 0.950675
2.220000, 55.922820, 53.188324, 1.051412, 0.951102
2.230000, 56.149233, 53.427373, 1.050945, 0.951525
2.240000, 56.375767, 53.666424, 1.050485, 0.951941
2.250000, 56.602419, 53.905478, 1.050031, 0.952353
2.260000, 56.829189, 54.144534, 1.049583, 0.952759
2.270000, 57.056074, 54.383592, 1.049141, 0.953160
2.280000, 57.283073, 54.622653, 1.048705, 0.953557
2.290000, 57.510185, 54.861716, 1.048275, 0.953948
2.300000, 57.737407, 55.100781, 1.047851, 0.954334
2.310000, 57.964739, 55.339848, 1.047432, 0.954716
2.320000, 58.192178, 55.578917, 1.047019, 0.955093
2.330000, 58.419724, 55.817989, 1.046611, 0.955465
2.340000, 58.647374, 56.057062, 1.046208, 0.955832
2.350000, 58.875128, 56.296138, 1.045811, 0.956196
2.360000, 59.102984, 56.535216, 1.045419, 0.956554
2.370000, 59.330941, 56.774295, 1.045032, 0.956909
2.380000, 59.558997, 57.013377, 1.044650, 0.957259
2.390000, 59.787151, 57.252461, 1.044272, 0.957605
2.400000, 60.015402, 57.491546, 1.043900, 0.957947
2.410000, 60.243748, 57.730634, 1.043532, 0.958284
2.420000, 60.472189, 57.969723, 1.043168, 0.958618
2.430000, 60.700723, 58.208815, 1.042810, 0.958948
2.440000, 60.929348, 58.447908, 1.042456, 0.959273
2.450000, 61.158064, 58.687003, 1.042106, 0.959596
2.460000, 61.386869, 58.926100, 1.041760, 0.959914
2.470000, 61.615763, 59.165198, 1.041419, 0.960228
2.480000, 61.844743, 59.404299, 1.041082, 0.960539
2.490000, 62.073810, 59.643401, 1.040749, 0.960846
2.500000, 62.302962, 59.882504, 1.040420, 0.961150
2.510000, 62.532198, 60.121610, 1.040095, 0.961450
2.520000, 62.761517, 60.360717, 1.039774, 0.961747
2.530000, 62.990917, 60.599826, 1.039457, 0.962041
2.540000, 63.220398, 60.838936, 1.039144, 0.962331
2.550000, 63.449959, 61.078049, 1.038834, 0.962618
2.560000, 63.679599, 61.317162, 1.038528, 0.962901
2.570000, 63.909317, 61.556277, 1.038226, 0.963182
2.580000, 64.139112, 61.795394, 1.037927, 0.963459
2.590000, 64.368983, 62.034513, 1.037632, 0.963733
2.600000, 64.598928, 62.273633, 1.037340, 0.964004
2.610000, 64.828948, 62.512754, 1.037052, 0.964272
2.620000, 65.059042, 62.751877, 1.036766, 0.964537
2.630000, 65.289207, 62.991001, 1.036485, 0.964800
2.640000, 65.519445, 63.230127, 1.036206, 0.965059
2.650000, 65.749753, 63.469254, 1.035931, 0.965315
2.660000, 65.980131, 63.708383, 1.035659, 0.965569
2.670000, 66.210577, 63.947513, 1.035389, 0.965820
2.680000, 66.441093, 64.186645, 1.035123, 0.966068
2.690000, 66.671675, 64.425778, 1.034860, 0.966314
2.700000, 66.902324, 64.664912, 1.034600, 0.966557
2.710000, 67.133040, 64.904048, 1.034343, 0.966797
2.720000, 67.363820, 65.143184, 1.034089, 0.967035
2.730000, 67.594665, 65.382323, 1.033837, 0.967270
2.740000, 67.825573, 65.621462, 1.033588, 0.967503
2.750000, 68.056545, 65.860603, 1.033342, 0.967734
2.760000, 68.287578, 66.099745, 1.033099, 0.967961
2.770000, 68.518673, 66.338889, 1.032858, 0.968187
2.780000, 68.749829, 66.578033, 1.032620, 0.968410
2.790000, 68.981045, 66.817179, 1.032385, 0.968631
2.800000, 69.212321, 67.056326, 1.032152, 0.968850
2.810000, 69.443655, 67.295475, 1.031922, 0.969066
2.820000, 69.675048, 67.534624, 1.031694, 0.969280
2.830000, 69.906498, 67.773775, 1.031468, 0.969492
2.840000, 70.138005, 68.012927, 1.031245, 0.969701
2.850000, 70.369569, 68.252080, 1.031025, 0.969909
2.860000, 70.601188, 68.491234, 1.030806, 0.970114
2.870000, 70.832862, 68.730389, 1.030590, 0.970318
2.880000, 71.064591, 68.969545, 1.030376, 0.970519
2.890000, 71.296373, 69.208703, 1.030165, 0.970718
2.900000, 71.528209, 69.447862, 1.029956, 0.970916
2.910000, 71.760098, 69.687021, 1.029748, 0.971111
2.920000, 71.992038, 69.926182, 1.029543, 0.971304
2.930000, 72.224031, 70.165344, 1.029341, 0.971496
2.940000, 72.456074, 70.404507, 1.029140, 0.971685
2.950000, 72.688168, 70.643671, 1.028941, 0.971873
2.960000, 72.920312, 70.882836, 1.028744, 0.972059
2.970000, 73.152506, 71.122002, 1.028550, 0.972243
2.980000, 73.384749, 71.361169, 1.028357, 0.972425
2.990000, 73.617040, 71.600337, 1.028166, 0.972605
3.000000, 73.849379, 71.839506, 1.027977, 0.972784
3.010000, 74.081765, 72.078676, 1.027790, 0.972961
3.020000, 74.314199, 72.317847, 1.027605, 0.973136
3.030000, 74.546679, 72.557019, 1.027422, 0.973310
3.040000, 74.779205, 72.796192, 1.027241, 0.973482
3.050000, 75.011776, 73.035366, 1.027061, 0.973652
3.060000, 75.244393, 73.274541, 1.026883, 0.973821
3.070000, 75.477054, 73.513716, 1.026707, 0.973988
3.080000, 75.709760, 73.752893, 1.026533, 0.974153
3.090000, 75.942509, 73.992070, 1.026360, 0.974317
3.100000, 76.175302, 74.231249, 1.026189, 0.974479
3.110000, 76.408137, 74.470428, 1.026020, 0.974640
