pt, Ef, Ei_phi=0, Ei_phi=0.5, Ei_phi=1, Ei_phi=pi, Ei_phi=pi/2, Ei_phi=pi/4
3.300000, 12.575627, 8.769562, 9.414165, 10.996390, 16.382987, 13.139777, 10.244477
3.310000, 12.613696, 8.807610, 9.451498, 11.032804, 16.421064, 13.176216, 10.281200
3.320000, 12.651765, 8.845659, 9.488837, 11.069229, 16.459142, 13.212665, 10.317934
3.330000, 12.689835, 8.883709, 9.526181, 11.105665, 16.497219, 13.249123, 10.354677
3.340000, 12.727904, 8.921759, 9.563532, 11.142113, 16.535296, 13.285590, 10.391429
3.350000, 12.765974, 8.959809, 9.600888, 11.178571, 16.573373, 13.322066, 10.428192
3.360000, 12.804044, 8.997859, 9.638251, 11.215040, 16.611451, 13.358551, 10.464963
3.370000, 12.842113, 9.035910, 9.675618, 11.251520, 16.649528, 13.395045, 10.501745
3.380000, 12.880183, 9.073961, 9.712992, 11.288011, 16.687606, 13.431548, 10.538535
3.390000, 12.918253, 9.112012, 9.750371, 11.324512, 16.725683, 13.468059, 10.575335
3.400000, 12.956324, 9.150064, 9.787755, 11.361023, 16.763761, 13.504580, 10.612143
3.410000, 12.994394, 9.188116, 9.825145, 11.397545, 16.801838, 13.541109, 10.648961
3.420000, 13.032464, 9.226168, 9.862540, 11.434077, 16.839916, 13.577646, 10.685788
3.430000, 13.070535, 9.264221, 9.899941, 11.470619, 16.877994, 13.614192, 10.722623
3.440000, 13.108605, 9.302273, 9.937346, 11.507171, 16.916071, 13.650747, 10.759467
3.450000, 13.146676, 9.340327, 9.974757, 11.543733, 16.954149, 13.687309, 10.796320
3.460000, 13.184747, 9.378380, 10.012173, 11.580305, 16.992227, 13.723881, 10.833182
3.470000, 13.222818, 9.416434, 10.049594, 11.616887, 17.030305, 13.760460, 10.870051
3.480000, 13.260889, 9.454488, 10.087020, 11.653478, 17.068383, 13.797047, 10.906930
3.490000, 13.298960, 9.492542, 10.124451, 11.690079, 17.106461, 13.833643, 10.943816
3.500000, 13.337031, 9.530597, 10.161887, 11.726690, 17.144539, 13.870247, 10.980711
3.510000, 13.375102, 9.568651, 10.199327, 11.763309, 17.182617, 13.906858, 11.017614
3.520000, 13.413174, 9.606707, 10.236773, 11.799939, 17.220695, 13.943478, 11.054525
3.530000, 13.451245, 9.644762, 10.274223, 11.836577, 17.258773, 13.980105, 11.091443
3.540000, 13.489317, 9.682817, 10.311678, 11.873224, 17.296852, 14.016741, 11.128370
