ptf, phif, pti
0.200000, -1.633628, 0.355805
0.200000, -1.570796, 0.353613
0.200000, -1.507964, 0.351408
0.200000, -1.445133, 0.349198
0.200000, -1.382301, 0.346991
0.200000, -1.319469, 0.344796
0.200000, -1.256637, 0.342623
0.200000, -1.193805, 0.340481
0.200000, -1.130973, 0.338378
0.200000, -1.068142, 0.336324
0.200000, -1.005310, 0.334327
0.200000, -0.942478, 0.332398
0.200000, -0.879646, 0.330544
0.200000, -0.816814, 0.328774
0.200000, -0.753982, 0.327097
0.200000, -0.691150, 0.325521
0.200000, -0.628319, 0.324053
0.200000, -0.565487, 0.322701
0.200000, -0.502655, 0.321472
0.200000, -0.439823, 0.320372
0.200000, -0.376991, 0.319406
0.200000, -0.314159, 0.318580
0.200000, -0.251327, 0.317898
0.200000, -0.188496, 0.317364
0.200000, -0.125664, 0.316981
0.200000, -0.062832, 0.316750
0.200000, 0.000000, 0.316673
0.200000, 0.062832, 0.316750
0.200000, 0.125664, 0.316981
0.200000, 0.188496, 0.317364
0.200000, 0.251327, 0.317898
0.200000, 0.314159, 0.318580
0.200000, 0.376991, 0.319406
0.200000, 0.439823, 0.320372
0.200000, 0.502655, 0.321472
0.200000, 0.565487, 0.322701
0.200000, 0.628319, 0.324053
0.200000, 0.691150, 0.325521
0.200000, 0.753982, 0.327097
0.200000, 0.816814, 0.328774
