ptf, phif, pti, pti/ptf
0.180000, -1.068142, 1.919775, 10.665419
0.180000, -1.005310, 1.909609, 10.608936
0.180000, -0.942478, 1.899788, 10.554378
0.180000, -0.879646, 1.890358, 10.501991
0.180000, -0.816814, 1.881363, 10.452016
0.180000, -0.753982, 1.872843, 10.404686
0.180000, -0.691150, 1.864841, 10.360226
0.180000, -0.628319, 1.857393, 10.318849
0.180000, -0.565487, 1.850536, 10.280756
0.180000, -0.502655, 1.844305, 10.246136
0.180000, -0.439823, 1.838729, 10.215161
0.180000, -0.376991, 1.833838, 10.187988
0.180000, -0.314159, 1.829656, 10.164753
0.180000, -0.251327, 1.826204, 10.145576
0.180000, -0.188496, 1.823500, 10.130557
0.180000, -0.125664, 1.821559, 10.119773
0.180000, -0.062832, 1.820390, 10.113279
0.180000, 0.000000, 1.820000, 10.111111
0.180000, 0.062832, 1.820390, 10.113279
0.180000, 0.125664, 1.821559, 10.119773
0.180000, 0.188496, 1.823500, 10.130557
0.180000, 0.251327, 1.826204, 10.145576
0.180000, 0.314159, 1.829656, 10.164753
0.180000, 0.376991, 1.833838, 10.187988
0.180000, 0.439823, 1.838729, 10.215161
0.180000, 0.502655, 1.844305, 10.246136
0.180000, 0.565487, 1.850536, 10.280756
0.180000, 0.628319, 1.857393, 10.318849
0.180000, 0.691150, 1.864841, 10.360226
0.180000, 0.753982, 1.872843, 10.404686
0.180000, 0.816814, 1.881363, 10.452016
0.180000, 0.879646, 1.890358, 10.501991
0.180000, 0.942478, 1.899788, 10.554378
0.180000, 1.005310, 1.909609, 10.608936
0.180000, 1.068142, 1.919775, 10.665419
0.180000, 1.130973, 1.930243, 10.723573
0.180000, 1.193805, 1.940966, 10.783146
0.180000, 1.256637, 1.951899, 10.843881
0.180000, 1.319469, 1.962993, 10.905519
0.180000, 1.382301, 1.974205, 10.967806
0.180000, 1.445133, 1.985487, 11.030485
0.180000, 1.507964, 1.996795, 11.093306
0.180000, 1.570796, 2.008084, 11.156020
0.180000, 1.633628, 2.019309, 11.218384
0.180000, 1.696460, 2.030429, 11.280158
0.180000, 1.759292, 2.041400, 11.341112
0.180000, 1.822124, 2.052183, 11.401019
0.180000, 1.884956, 2.062739, 11.459661
0.180000, 1.947787, 2.073029, 11.516828
0.180000, 2.010619, 2.083017, 11.572318
0.180000, 2.073451, 2.092669, 11.625938
0.180000, 2.136283, 2.101950, 11.677502
0.180000, 2.199115, 2.110830, 11.726836
0.180000, 2.261947, 2.119279, 11.773775
0.180000, 2.324779, 2.127269, 11.818162
0.180000, 2.387610, 2.134773, 11.859852
0.180000, 2.450442, 2.141768, 11.898710
0.180000, 2.513274, 2.148230, 11.934611
0.180000, 2.576106, 2.154139, 11.967441
0.180000, 2.638938, 2.159477, 11.997094
0.180000, 2.701770, 2.164226, 12.023479
0.180000, 2.764602, 2.168372, 12.046514
0.180000, 2.827433, 2.171903, 12.066125
0.180000, 2.890265, 2.174806, 12.082254
0.180000, 2.953097, 2.177073, 12.094850
0.180000, 3.015929, 2.178697, 12.103875
0.180000, 3.078761, 2.179674, 12.109301
0.190000, -3.141593, 2.190000, 11.526316
0.190000, -3.078761, 2.189658, 11.524514
0.190000, -3.015929, 2.188631, 11.519112
0.190000, -2.953097, 2.186924, 11.510128
0.190000, -2.890265, 2.184542, 11.497589
0.190000, -2.827433, 2.181491, 11.481532
0.190000, -2.764602, 2.177781, 11.462005
0.190000, -2.701770, 2.173423, 11.439070
0.190000, -2.638938, 2.168431, 11.412795
0.190000, -2.576106, 2.162820, 11.383262
0.190000, -2.513274, 2.156607, 11.350562
0.190000, -2.450442, 2.149812, 11.314798
0.190000, -2.387610, 2.142456, 11.276082
0.190000, -2.324779, 2.134562, 11.234538
0.190000, -2.261947, 2.126157, 11.190298
0.190000, -2.199115, 2.117266, 11.143507
0.190000, -2.136283, 2.107920, 11.094318
0.190000, -2.073451, 2.098150, 11.042894
0.190000, -2.010619, 2.087988, 10.989408
0.190000, -1.947787, 2.077468, 10.934044
0.190000, -1.884956, 2.066628, 10.876992
0.190000, -1.822124, 2.055506, 10.818452
0.190000, -1.759292, 2.044140, 10.758633
0.190000, -1.696460, 2.032573, 10.697753
0.190000, -1.633628, 2.020847, 10.636034
0.190000, -1.570796, 2.009005, 10.573709
0.190000, -1.507964, 1.997093, 10.511014
0.190000, -1.445133, 1.985157, 10.448193
0.190000, -1.382301, 1.973244, 10.385492
0.190000, -1.319469, 1.961401, 10.323166
0.190000, -1.256637, 1.949679, 10.261467
0.190000, -1.193805, 1.938124, 10.200654
0.190000, -1.130973, 1.926787, 10.140984
0.190000, -1.068142, 1.915716, 10.082715
0.190000, -1.005310, 1.904960, 10.026104
0.190000, -0.942478, 1.894567, 9.971404
0.190000, -0.879646, 1.884584, 9.918864
0.190000, -0.816814, 1.875058, 9.868729
0.190000, -0.753982, 1.866034, 9.821233
0.190000, -0.691150, 1.857555, 9.776604
0.190000, -0.628319, 1.849661, 9.735060
0.190000, -0.565487, 1.842393, 9.696804
0.190000, -0.502655, 1.835785, 9.662027
0.190000, -0.439823, 1.829872, 9.630905
0.190000, -0.376991, 1.824683, 9.603597
0.190000, -0.314159, 1.820246, 9.580244
0.190000, -0.251327, 1.816584, 9.560968
0.190000, -0.188496, 1.813715, 9.545868
0.190000, -0.125664, 1.811655, 9.535025
0.190000, -0.062832, 1.810414, 9.528496
0.190000, 0.000000, 1.810000, 9.526316
0.190000, 0.062832, 1.810414, 9.528496
0.190000, 0.125664, 1.811655, 9.535025
0.190000, 0.188496, 1.813715, 9.545868
0.190000, 0.251327, 1.816584, 9.560968
0.190000, 0.314159, 1.820246, 9.580244
0.190000, 0.376991, 1.824683, 9.603597
0.190000, 0.439823, 1.829872, 9.630905
0.190000, 0.502655, 1.835785, 9.662027
0.190000, 0.565487, 1.842393, 9.696804
0.190000, 0.628319, 1.849661, 9.735060
0.190000, 0.691150, 1.857555, 9.776604
0.190000, 0.753982, 1.866034, 9.821233
0.190000, 0.816814, 1.875058, 9.868729
0.190000, 0.879646, 1.884584, 9.918864
0.190000, 0.942478, 1.894567, 9.971404
0.190000, 1.005310, 1.904960, 10.026104
0.190000, 1.068142, 1.915716, 10.082715
0.190000, 1.130973, 1.926787, 10.140984
0.190000, 1.193805, 1.938124, 10.200654
0.190000, 1.256637, 1.949679, 10.261467
0.190000, 1.319469, 1.961401, 10.323166
0.190000, 1.382301, 1.973244, 10.385492
0.190000, 1.445133, 1.985157, 10.448193
0.190000, 1.507964, 1.997093, 10.511014
0.190000, 1.570796, 2.009005, 10.573709
0.190000, 1.633628, 2.020847, 10.636034
0.190000, 1.696460, 2.032573, 10.697753
0.190000, 1.759292, 2.044140, 10.758633
0.190000, 1.822124, 2.055506, 10.818452
0.190000, 1.884956, 2.066628, 10.876992
0.190000, 1.947787, 2.077468, 10.934044
0.190000, 2.010619, 2.087988, 10.989408
0.190000, 2.073451, 2.098150, 11.042894
