#: table_doi: 10.17182/hepdata.105588.v1/t1
#: name: 1/NTRIG DN/DPHI
#: description: Long-range $\Delta\varphi$ projections in minimum bias and high-multiplicity events for various $p_\mathrm{T,trig(assoc)}$ ranges.

#: data_file: Table1.yaml
#: keyword reactions: PROTON PROTON --> CHARGED X
#: keyword observables: Per-trigger Yield
#: keyword cmenergies: 13000.0
#: FORWARD MULTIPLICITY CLASS [PCT],,,0-100
#: $p_\mathrm{T,trig(assoc)}$ [GeV/c],,,1-2
#: stat,,,Statistical Uncertainty
#: sys,,,Systematic Uncertainty
$\Delta\varphi$,$\Delta\varphi$ LOW,$\Delta\varphi$ HIGH,1/$N_{\rm{trig}} \mathrm{d}N^{\mathrm{pair}}/\mathrm{d}\Delta\varphi$,stat +,stat -,sys +,sys -
2.7488935000000003,2.650719,2.847068,0.0116459,0.000677516,-0.000677516,0.000417118,-0.000417118
2.945243,2.847068,3.043418,0.0151598,0.000706176,-0.000706176,0.000564248,-0.000564248
3.1415925,3.043418,3.239767,0.0149251,0.000694426,-0.000694426,0.000556331,-0.000556331
3.337942,3.239767,3.436117,0.014387,0.000698273,-0.000698273,0.000532141,-0.000532141
3.5342919999999998,3.436117,3.632467,0.0126111,0.00067844,-0.00067844,0.000464268,-0.000464268
3.7306415,3.632467,3.828816,0.0103649,0.000671175,-0.000671175,0.000387376,-0.000387376
3.926991,3.828816,4.025166,0.00868917,0.000663636,-0.000663636,0.00032354,-0.00032354
4.123340499999999,4.025166,4.221515,0.00574059,0.000644738,-0.000644738,0.00021156,-0.00021156
4.31969,4.221515,4.417865,0.00291016,0.000630519,-0.000630519,0.000105002,-0.000105002
4.5160395,4.417865,4.614214,0.00267302,0.000627131,-0.000627131,9.58569e-05,-9.58569e-05

