ptf,yi,yf,cosh(yf)/cosh(yi)
1.4128,1.45126,1.49561,1.04073
1.41665,1.45211,1.49563,1.03996
1.4205,1.45293,1.49565,1.03922
1.42435,1.45373,1.49568,1.03849
1.4282,1.45452,1.4957,1.03778
1.43205,1.45528,1.49572,1.03709
1.4359,1.45603,1.49575,1.03642
1.43975,1.45676,1.49577,1.03576
1.4436,1.45747,1.49579,1.03513
1.44745,1.45816,1.49581,1.0345
1.4513,1.45884,1.49584,1.0339
1.45515,1.4595,1.49586,1.0333
1.459,1.46014,1.49588,1.03273
1.46285,1.46077,1.4959,1.03216
1.4667,1.46139,1.49592,1.03161
1.47055,1.46199,1.49594,1.03108
1.4744,1.46257,1.49596,1.03055
1.47825,1.46315,1.49599,1.03004
1.4821,1.46371,1.49601,1.02954
1.48595,1.46426,1.49603,1.02905
1.4898,1.46479,1.49605,1.02858
1.49365,1.46532,1.49607,1.02811
1.4975,1.46583,1.49609,1.02765
1.50135,1.46633,1.49611,1.02721
1.5052,1.46683,1.49613,1.02677
1.50905,1.46731,1.49615,1.02635
1.5129,1.46778,1.49617,1.02593
1.51675,1.46824,1.49619,1.02553
1.5206,1.46869,1.4962,1.02513
1.52445,1.46913,1.49622,1.02474
1.5283,1.46956,1.49624,1.02436
1.53215,1.46998,1.49626,1.02399
1.536,1.4704,1.49628,1.02362
1.53985,1.4708,1.4963,1.02326
1.5437,1.4712,1.49632,1.02292
1.54755,1.47159,1.49634,1.02257
1.5514,1.47197,1.49635,1.02224
1.55525,1.47235,1.49637,1.02191
1.5591,1.47272,1.49639,1.02159
1.56295,1.47308,1.49641,1.02127
1.5668,1.47343,1.49642,1.02097
1.57065,1.47378,1.49644,1.02066
1.5745,1.47412,1.49646,1.02037
1.57835,1.47445,1.49648,1.02008
1.5822,1.47478,1.49649,1.01979
1.58605,1.4751,1.49651,1.01952
1.5899,1.47541,1.49653,1.01924
1.59375,1.47572,1.49654,1.01897
1.5976,1.47602,1.49656,1.01871
1.60145,1.47632,1.49658,1.01845
1.6053,1.47661,1.49659,1.0182
1.60915,1.4769,1.49661,1.01795
1.613,1.47718,1.49663,1.01771
1.61685,1.47746,1.49664,1.01747
1.6207,1.47773,1.49666,1.01724
1.62455,1.47799,1.49667,1.01701
1.6284,1.47826,1.49669,1.01678
1.63225,1.47851,1.4967,1.01656
1.6361,1.47877,1.49672,1.01634
1.63995,1.47901,1.49673,1.01613
1.6438,1.47926,1.49675,1.01592
1.64765,1.4795,1.49677,1.01571
1.6515,1.47973,1.49678,1.01551
1.65535,1.47997,1.4968,1.01531
1.6592,1.48019,1.49681,1.01512
1.66305,1.48042,1.49682,1.01493
1.6669,1.48064,1.49684,1.01474
1.67075,1.48085,1.49685,1.01455
1.6746,1.48107,1.49687,1.01437
1.67845,1.48128,1.49688,1.01419
1.6823,1.48148,1.4969,1.01402
1.68615,1.48169,1.49691,1.01385
1.69,1.48188,1.49692,1.01368
1.69385,1.48208,1.49694,1.01351
1.6977,1.48227,1.49695,1.01335
1.70155,1.48246,1.49697,1.01319
1.7054,1.48265,1.49698,1.01303
1.70925,1.48283,1.49699,1.01287
1.7131,1.48302,1.49701,1.01272
1.71695,1.48319,1.49702,1.01257
1.7208,1.48337,1.49703,1.01242
1.72465,1.48354,1.49705,1.01227
1.7285,1.48371,1.49706,1.01213
1.73235,1.48388,1.49707,1.01199
1.7362,1.48405,1.49709,1.01185
1.74005,1.48421,1.4971,1.01171
1.7439,1.48437,1.49711,1.01158
1.74775,1.48453,1.49712,1.01145
1.7516,1.48468,1.49714,1.01132
1.75545,1.48483,1.49715,1.01119
1.7593,1.48498,1.49716,1.01106
1.76315,1.48513,1.49717,1.01094
1.767,1.48528,1.49719,1.01082
1.77085,1.48542,1.4972,1.0107
1.7747,1.48556,1.49721,1.01058
1.77855,1.4857,1.49722,1.01046
1.7824,1.48584,1.49723,1.01035
1.78625,1.48598,1.49725,1.01023
1.7901,1.48611,1.49726,1.01012
1.79395,1.48624,1.49727,1.01001
1.7978,1.48638,1.49728,1.0099
1.80165,1.4865,1.49729,1.0098
1.8055,1.48663,1.4973,1.00969
1.80935,1.48676,1.49732,1.00959
1.8132,1.48688,1.49733,1.00949
