etaf, phif, dF
-4.700000, -0.860000, 0.000529
-4.700000, -0.840000, 0.000550
-4.700000, -0.820000, 0.000571
-4.700000, -0.800000, 0.000594
-4.700000, -0.780000, 0.000617
-4.700000, -0.760000, 0.000640
-4.700000, -0.740000, 0.000665
-4.700000, -0.720000, 0.000690
-4.700000, -0.700000, 0.000716
-4.700000, -0.680000, 0.000743
-4.700000, -0.660000, 0.000771
-4.700000, -0.640000, 0.000799
-4.700000, -0.620000, 0.000829
-4.700000, -0.600000, 0.000858
-4.700000, -0.580000, 0.000889
-4.700000, -0.560000, 0.000920
-4.700000, -0.540000, 0.000952
-4.700000, -0.520000, 0.000984
-4.700000, -0.500000, 0.001017
-4.700000, -0.480000, 0.001050
-4.700000, -0.460000, 0.001083
-4.700000, -0.440000, 0.001117
-4.700000, -0.420000, 0.001150
-4.700000, -0.400000, 0.001184
-4.700000, -0.380000, 0.001217
-4.700000, -0.360000, 0.001250
-4.700000, -0.340000, 0.001283
-4.700000, -0.320000, 0.001315
-4.700000, -0.300000, 0.001346
-4.700000, -0.280000, 0.001376
-4.700000, -0.260000, 0.001406
-4.700000, -0.240000, 0.001434
-4.700000, -0.220000, 0.001460
-4.700000, -0.200000, 0.001485
-4.700000, -0.180000, 0.001508
-4.700000, -0.160000, 0.001529
-4.700000, -0.140000, 0.001549
-4.700000, -0.120000, 0.001565
-4.700000, -0.100000, 0.001580
-4.700000, -0.080000, 0.001592
-4.700000, -0.060000, 0.001602
-4.700000, -0.040000, 0.001608
-4.700000, -0.020000, 0.001612
-4.700000, 0.000000, 0.001614
-4.700000, 0.020000, 0.001613
-4.700000, 0.040000, 0.001608
-4.700000, 0.060000, 0.001602
-4.700000, 0.080000, 0.001592
-4.700000, 0.100000, 0.001580
-4.700000, 0.120000, 0.001566
-4.700000, 0.140000, 0.001549
-4.700000, 0.160000, 0.001530
-4.700000, 0.180000, 0.001509
-4.700000, 0.200000, 0.001485
-4.700000, 0.220000, 0.001461
-4.700000, 0.240000, 0.001434
-4.700000, 0.260000, 0.001406
-4.700000, 0.280000, 0.001377
-4.700000, 0.300000, 0.001347
-4.700000, 0.320000, 0.001315
-4.700000, 0.340000, 0.001283
